,taxi_zone,zip_code
803,Rego Park,11373
804,Rego Park,11375
805,Rego Park,11374
806,Rego Park,11379
807,Rego Park,11368
808,Rego Park,11385
809,Richmond Hill,11435
810,Richmond Hill,11415
811,Richmond Hill,11418
812,Richmond Hill,11421
813,Richmond Hill,11419
814,Richmond Hill,11416
815,Richmond Hill,11385
816,Richmond Hill,11417
817,Ridgewood,11379
818,Ridgewood,11378
819,Ridgewood,11237
820,Ridgewood,11385
821,Rikers Island,11370
822,Riverdale/North Riverdale/Fieldston,10471
823,Riverdale/North Riverdale/Fieldston,10463
824,Rockaway Park,11693
825,Rockaway Park,11694
826,Roosevelt Island,10044
827,Rosedale,11411
828,Rosedale,11413
829,Rosedale,11422
830,Rosedale,11430
831,Rossville/Woodrow,10312
832,Rossville/Woodrow,10309
833,Saint Albans,11423
834,Saint Albans,11433
835,Saint Albans,11434
836,Saint Albans,11412
837,Saint Albans,11411
838,Saint Albans,11413
839,Saint George/New Brighton,10301
840,Saint George/New Brighton,10310
841,Saint George/New Brighton,10302
842,Saint Michaels Cemetery/Woodside,11370
843,Saint Michaels Cemetery/Woodside,11103
844,Saint Michaels Cemetery/Woodside,11377
845,Schuylerville/Edgewater Park,10462
846,Schuylerville/Edgewater Park,10465
847,Schuylerville/Edgewater Park,10461
848,Seaport,10002
849,Seaport,10007
850,Seaport,10038
851,Sheepshead Bay,11234
852,Sheepshead Bay,11229
853,Sheepshead Bay,11235
854,SoHo,10014
855,SoHo,10012
856,SoHo,10013
857,Soundview/Bruckner,10462
858,Soundview/Bruckner,10472
859,Soundview/Bruckner,10473
860,Soundview/Castle Hill,10462
861,Soundview/Castle Hill,10465
862,South Beach/Dongan Hills,10304
863,South Beach/Dongan Hills,10305
864,South Beach/Dongan Hills,10306
865,South Jamaica,11435
866,South Jamaica,11433
867,South Jamaica,11434
868,South Jamaica,11436
869,South Ozone Park,11435
870,South Ozone Park,11419
871,South Ozone Park,11416
872,South Ozone Park,11436
873,South Ozone Park,11420
874,South Ozone Park,11417
875,South Ozone Park,11414
876,South Ozone Park,11430
877,South Williamsburg,11211
878,South Williamsburg,11206
879,South Williamsburg,11251
880,South Williamsburg,11205
881,Springfield Gardens North,11434
882,Springfield Gardens North,11436
883,Springfield Gardens North,11413
884,Springfield Gardens North,11430
885,Springfield Gardens South,11434
886,Springfield Gardens South,11436
887,Springfield Gardens South,11413
888,Springfield Gardens South,11422
889,Springfield Gardens South,11430
890,Spuyten Duyvil/Kingsbridge,10471
891,Spuyten Duyvil/Kingsbridge,10463
892,Spuyten Duyvil/Kingsbridge,10463
893,Stapleton,10301
894,Stapleton,10304
895,Stapleton,10305
896,Starrett City,11207
897,Starrett City,11239
898,Starrett City,11236
899,Steinway,11105
900,Steinway,11371
901,Steinway,11102
902,Steinway,11370
903,Steinway,11103
904,Steinway,11377
905,Stuy Town/Peter Cooper Village,10010
906,Stuy Town/Peter Cooper Village,10003
907,Stuy Town/Peter Cooper Village,10002
908,Stuy Town/Peter Cooper Village,10009
909,Stuyvesant Heights,11221
910,Stuyvesant Heights,11216
911,Stuyvesant Heights,11233
912,Stuyvesant Heights,11213
913,Stuyvesant Heights,11206
914,Sunnyside,11103
915,Sunnyside,11377
916,Sunnyside,11101
917,Sunnyside,11104
918,Sunnyside,11378
919,Sunset Park East,11218
920,Sunset Park East,11219
921,Sunset Park East,11232
922,Sunset Park East,11220
923,Sunset Park West,11215
924,Sunset Park West,11232
925,Sunset Park West,11220
926,Sutton Place/Turtle Bay North,10017
927,Sutton Place/Turtle Bay North,10022
