,date,zip_code,hospitalization_rate
597,6/2020,10461,22.4
598,6/2020,10462,22.6
599,6/2020,10463,18.6
600,6/2020,10464,0.0
601,6/2020,10465,20.9
602,6/2020,10466,18.2
603,6/2020,10467,29.4
604,6/2020,10468,24.4
605,6/2020,10469,16.5
606,6/2020,10470,13.3
607,6/2020,10471,14.1
608,6/2020,10472,19.1
609,6/2020,10473,18.6
610,6/2020,10474,8.4
611,6/2020,10475,32.8
612,6/2020,11004,10.6
613,6/2020,11101,13.6
614,6/2020,11102,13.3
615,6/2020,11103,5.7
616,6/2020,11104,0.0
617,6/2020,11105,5.5
618,6/2020,11106,8.0
619,6/2020,11109,17.4
620,6/2020,11201,8.0
621,6/2020,11203,23.2
622,6/2020,11204,23.4
623,6/2020,11205,26.5
624,6/2020,11206,13.8
625,6/2020,11207,31.4
626,6/2020,11208,22.0
627,6/2020,11209,16.3
628,6/2020,11210,27.4
629,6/2020,11211,14.8
630,6/2020,11212,39.2
631,6/2020,11213,17.0
632,6/2020,11214,22.6
633,6/2020,11215,5.7
634,6/2020,11216,9.1
635,6/2020,11217,12.2
636,6/2020,11218,24.3
637,6/2020,11219,34.4
638,6/2020,11220,27.5
639,6/2020,11221,16.0
640,6/2020,11222,13.8
641,6/2020,11223,13.5
642,6/2020,11224,47.5
643,6/2020,11225,7.0
644,6/2020,11226,25.7
645,6/2020,11228,15.6
646,6/2020,11229,16.8
647,6/2020,11230,22.5
648,6/2020,11231,8.0
649,6/2020,11232,36.9
650,6/2020,11233,18.8
651,6/2020,11234,18.1
652,6/2020,11235,20.5
653,6/2020,11236,18.5
654,6/2020,11237,16.7
655,6/2020,11238,13.1
656,6/2020,11239,69.1
657,6/2020,11354,37.1
658,6/2020,11355,24.1
659,6/2020,11356,13.1
660,6/2020,11357,20.7
661,6/2020,11358,11.1
662,6/2020,11360,5.3
663,6/2020,11361,7.6
664,6/2020,11362,16.6
665,6/2020,11363,29.7
666,6/2020,11364,2.8
667,6/2020,11365,16.0
668,6/2020,11366,14.1
669,6/2020,11367,14.8
670,6/2020,11368,30.8
671,6/2020,11369,23.8
672,6/2020,11370,25.2
673,6/2020,11372,28.0
674,6/2020,11373,20.7
675,6/2020,11374,16.9
676,6/2020,11375,12.6
677,6/2020,11377,14.3
678,6/2020,11378,8.3
679,6/2020,11379,19.1
680,6/2020,11385,11.6
681,6/2020,11411,4.7
682,6/2020,11412,10.5
683,6/2020,11413,16.2
684,6/2020,11414,3.5
685,6/2020,11415,37.1
686,6/2020,11416,34.1
687,6/2020,11417,16.1
688,6/2020,11418,16.0
689,6/2020,11419,20.6
690,6/2020,11420,14.6
691,6/2020,11421,25.0
692,6/2020,11422,30.9
693,6/2020,11423,22.5
694,6/2020,11426,5.0
695,6/2020,11427,0.0
696,6/2020,11428,32.3
697,6/2020,11429,14.4
698,6/2020,11432,24.7
699,6/2020,11433,21.9
700,6/2020,11434,13.5
701,6/2020,11435,24.0
702,6/2020,11436,10.0
703,6/2020,11691,31.4
704,6/2020,11692,23.8
705,6/2020,11693,15.8
706,6/2020,11694,9.6
707,6/2020,11697,59.0
708,7/2020,10001,14.5
709,7/2020,10002,17.3
710,7/2020,10003,7.4
711,7/2020,10004,0.0
712,7/2020,10005,34.3
713,7/2020,10006,0.0
714,7/2020,10007,0.0
715,7/2020,10009,5.2
716,7/2020,10010,9.0
717,7/2020,10011,14.1
718,7/2020,10012,8.6
719,7/2020,10013,6.9
720,7/2020,10014,13.2
721,7/2020,10016,9.8
722,7/2020,10017,12.8
723,7/2020,10018,17.0
724,7/2020,10019,9.2
725,7/2020,10021,4.4
726,7/2020,10022,12.9
727,7/2020,10023,3.2
728,7/2020,10024,3.4
729,7/2020,10025,6.5
730,7/2020,10026,12.9
731,7/2020,10027,11.0
732,7/2020,10028,2.1
733,7/2020,10029,17.9
734,7/2020,10030,17.1
735,7/2020,10031,18.6
736,7/2020,10032,14.3
737,7/2020,10033,8.5
738,7/2020,10034,14.2
739,7/2020,10035,17.0
740,7/2020,10036,14.7
741,7/2020,10037,14.4
742,7/2020,10038,4.4
743,7/2020,10039,14.7
744,7/2020,10040,25.0
745,7/2020,10044,0.0
746,7/2020,10065,0.0
747,7/2020,10069,15.9
748,7/2020,10075,0.0
749,7/2020,10128,3.4
750,7/2020,10280,0.0
751,7/2020,10282,35.9
752,7/2020,10301,15.4
753,7/2020,10302,16.2
754,7/2020,10303,15.1
755,7/2020,10304,11.9
756,7/2020,10305,7.0
757,7/2020,10306,5.7
758,7/2020,10307,6.7
759,7/2020,10308,6.7
760,7/2020,10309,6.1
761,7/2020,10310,17.1
762,7/2020,10312,9.8
763,7/2020,10314,15.1
764,7/2020,10451,19.0
765,7/2020,10452,18.6
766,7/2020,10453,17.8
767,7/2020,10454,23.8
768,7/2020,10455,26.3
769,7/2020,10456,24.7
770,7/2020,10457,27.1
771,7/2020,10458,16.9
772,7/2020,10459,23.0
773,7/2020,10460,18.7
774,7/2020,10461,14.3
775,7/2020,10462,21.2
776,7/2020,10463,7.1
777,7/2020,10464,0.0
778,7/2020,10465,7.0
779,7/2020,10466,7.0
780,7/2020,10467,24.5
781,7/2020,10468,18.0
782,7/2020,10469,11.0
783,7/2020,10470,13.3
784,7/2020,10471,4.7
785,7/2020,10472,30.9
786,7/2020,10473,11.8
787,7/2020,10474,8.4
788,7/2020,10475,18.7
789,7/2020,11004,5.3
790,7/2020,11101,5.4
791,7/2020,11102,13.3
792,7/2020,11103,14.3
793,7/2020,11104,3.9
794,7/2020,11105,5.5
795,7/2020,11106,13.4
796,7/2020,11109,17.4
797,7/2020,11201,6.4
798,7/2020,11203,8.2
799,7/2020,11204,14.3
800,7/2020,11205,8.8
801,7/2020,11206,24.2
802,7/2020,11207,18.0
803,7/2020,11208,12.6
804,7/2020,11209,7.4
805,7/2020,11210,13.7
806,7/2020,11211,14.8
807,7/2020,11212,24.3
808,7/2020,11213,12.4
809,7/2020,11214,17.2
810,7/2020,11215,4.3
811,7/2020,11216,14.6
812,7/2020,11217,4.9
813,7/2020,11218,13.5
814,7/2020,11219,17.8
815,7/2020,11220,27.5
816,7/2020,11221,7.4
817,7/2020,11222,5.5
818,7/2020,11223,11.0
819,7/2020,11224,19.5
820,7/2020,11225,10.4
821,7/2020,11226,16.4
822,7/2020,11228,11.1
