PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color
24,77225.47,4538.38,Manhattan,Bloomingdale,Yellow Zone,#567994,-71.02383381631027,-78.81017269337133,#5a9178
25,25429.77,20786.38,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,-70.92478873403692,-84.43110301064576,#5a9178
26,13250.35,8990.7,Brooklyn,Borough Park,Boro Zone,#5a9178,15.067445109936436,-55.13479472398319,#b8d6be
27,316.49,464.8,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,-76.20375939849625,-65.59687351965893,#567994
28,8213.84,4053.43,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3,-85.605994359697,-76.09671870420571,#2a5a5b
29,7541.4800000000005,5762.67,Brooklyn,Brighton Beach,Boro Zone,#90b2b3,56.83023858888803,-76.10149669681626,#73ae80
30,46.629999999999995,66.55,Queens,Broad Channel,Boro Zone,#e8e8e8,-92.1628934940083,-90.34723833836158,#2a5a5b
31,2097.36,1220.96,Bronx,Bronx Park,Boro Zone,#e8e8e8,25.932019189778266,-77.61411035633417,#73ae80
32,10084.43,6238.82,Bronx,Bronxdale,Boro Zone,#90b2b3,48.850751159433564,-57.150578954345065,#b8d6be
33,19331.93,18737.920000000002,Brooklyn,Brooklyn Heights,Boro Zone,#5a9178,-83.72090634089498,-90.45969517124507,#2a5a5b
34,4421.19,908.61,Brooklyn,Brooklyn Navy Yard,Boro Zone,#e8e8e8,132.78855114967644,-55.26997223480299,#b8d6be
35,42298.03,22350.32,Brooklyn,Brownsville,Boro Zone,#2a5a5b,94.26255784517426,-50.5085587966511,#b8d6be
36,8453.06,4327.34,Brooklyn,Bushwick North,Boro Zone,#90b2b3,-37.20664016681388,-84.94720979999832,#5a9178
37,23682.06,10049.34,Brooklyn,Bushwick South,Boro Zone,#2a5a5b,8.776308670022154,-65.88858105507268,#b8d6be
38,9282.6,6574.79,Queens,Cambria Heights,Boro Zone,#90b2b3,19.059131958294806,-40.10154365302061,#e8e8e8
39,46723.79,20943.25,Brooklyn,Canarsie,Boro Zone,#2a5a5b,69.28400341583931,-55.58312386695159,#b8d6be
40,3784.05,2215.4300000000003,Brooklyn,Carroll Gardens,Boro Zone,#b8d6be,-91.11545158454672,-91.49450705550149,#2a5a5b
41,138225.38,62550.87,Manhattan,Central Harlem,Boro Zone,#2a5a5b,-59.90153137001404,-80.48719505193344,#5a9178
42,102023.01,61765.42,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,-39.33304231654123,-71.88630610923052,#5a9178
43,238705.04,16822.5,Manhattan,Central Park,Yellow Zone,#2a5a5b,-84.38386008736492,-77.43558225922368,#2a5a5b
44,9651.39,716.31,Staten Island,Charleston/Tottenville,Boro Zone,#b5c0da,446.90772473820203,160.11692933401116,#e8e8e8
45,26892.06,648.4,Manhattan,Chinatown,Yellow Zone,#6c83b5,-89.8880015570307,24.285988115775332,#6c83b5
46,2264.77,2218.26,Bronx,City Island,Boro Zone,#b8d6be,-11.225873720190027,-62.60084197251534,#90b2b3
47,12859.68,9269.59,Bronx,Claremont/Bathgate,Boro Zone,#5a9178,69.64896565644307,-35.104719152725586,#e8e8e8
48,475010.49,1230.31,Manhattan,Clinton East,Yellow Zone,#6c83b5,-86.08584397676123,2709.5683946106415,#6c83b5
49,12876.68,14049.15,Brooklyn,Clinton Hill,Boro Zone,#5a9178,-50.45054301043616,-78.00920382240379,#5a9178
50,158648.77,1109.56,Manhattan,Clinton West,Yellow Zone,#6c83b5,-83.04286166118203,437.577519379845,#6c83b5
51,17220.15,16828.19,Bronx,Co-Op City,Boro Zone,#5a9178,-4.168095043051621,-62.4623132840153,#90b2b3
52,5452.1,6407.5,Brooklyn,Cobble Hill,Boro Zone,#b8d6be,-89.67722806470131,-87.2988379749977,#2a5a5b
53,6668.06,2010.95,Queens,College Point,Boro Zone,#b8d6be,27.616175032391794,-59.55214604230738,#b8d6be
54,1908.37,914.95,Brooklyn,Columbia Street,Boro Zone,#e8e8e8,-47.31897860593513,-73.76600289593279,#5a9178
55,25896.45,22719.06,Brooklyn,Coney Island,Boro Zone,#2a5a5b,84.40785215156558,-73.58693559503004,#73ae80
56,7653.2,7175.21,Queens,Corona,Boro Zone,#5a9178,-78.20138962865573,-73.70197865286235,#2a5a5b
57,1563.26,842.14,Queens,Corona,Boro Zone,#e8e8e8,30.57198222578597,-55.450813601642025,#b8d6be
58,486.11,269.33,Bronx,Country Club,Boro Zone,#e8e8e8,-59.70607007567909,-83.69978999098232,#5a9178
59,635.14,708.4,Bronx,Crotona Park,Boro Zone,#e8e8e8,6.997978436657676,-43.85976034996513,#e8e8e8
60,7181.9,4209.01,Bronx,Crotona Park East,Boro Zone,#b8d6be,51.93678732361591,-61.16336170028225,#b8d6be
61,59036.53,36628.76,Brooklyn,Crown Heights North,Boro Zone,#2a5a5b,48.945387517925454,-60.81254195168492,#b8d6be
62,13540.09,8767.49,Brooklyn,Crown Heights South,Boro Zone,#5a9178,0.07553657204392462,-63.72381325945272,#90b2b3
63,18444.0,7913.04,Brooklyn,Cypress Hills,Boro Zone,#5a9178,92.2992712145382,-40.48005343454607,#e8e8e8
64,5048.43,776.25,Queens,Douglaston,Boro Zone,#e8e8e8,36.206245312238636,-80.10972003710289,#73ae80
65,25922.35,30174.57,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b,-82.18635642584053,-81.30149173154744,#2a5a5b
66,7248.41,4229.27,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#90b2b3,-89.74694869450025,-97.55547034510694,#2a5a5b
67,2601.43,1627.35,Brooklyn,Dyker Heights,Boro Zone,#b8d6be,-29.464031517669042,-78.80602107741757,#5a9178
68,420931.2,2092.06,Manhattan,East Chelsea,Yellow Zone,#567994,-83.95976986243197,1009.905034749854,#6c83b5
69,16978.69,15430.4,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178,4.6012063950891475,-61.522751857358095,#b8d6be
70,84616.65,3422.3,Queens,East Elmhurst,Boro Zone,#567994,147.77536525766052,-72.46453772317298,#73ae80
71,19038.37,12762.21,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178,19.640958416180055,-57.90319675791999,#b8d6be
72,27740.08,15154.94,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#2a5a5b,66.37027174532348,-53.020174590184254,#b8d6be
73,1823.84,1110.03,Queens,East Flushing,Boro Zone,#e8e8e8,43.72261623325453,-74.5113077182726,#73ae80
74,162481.84,109573.61,Manhattan,East Harlem North,Boro Zone,#2a5a5b,-54.098121499325735,-79.24447529983566,#5a9178
75,292107.97000000003,99509.72,Manhattan,East Harlem South,Boro Zone,#2a5a5b,-54.32921151511623,-75.22284377068893,#5a9178
76,76515.2,33221.57,Brooklyn,East New York,Boro Zone,#2a5a5b,80.51802391612793,-51.492357195035744,#b8d6be
77,23851.49,11772.85,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#2a5a5b,177.82878429253023,-28.319926254980466,#e8e8e8
78,12859.45,8628.53,Bronx,East Tremont,Boro Zone,#5a9178,48.3126693962286,-59.71417872957119,#b8d6be
79,330844.94,537.18,Manhattan,East Village,Yellow Zone,#6c83b5,-86.72497873305858,232.06404154045867,#6c83b5
80,12721.76,3994.01,Brooklyn,East Williamsburg,Boro Zone,#90b2b3,-70.14639851578666,-92.82505740927735,#5a9178
81,12750.04,7891.47,Bronx,Eastchester,Boro Zone,#5a9178,32.82274001514695,-52.86074228410178,#b8d6be
82,15781.68,22147.89,Queens,Elmhurst,Boro Zone,#5a9178,-76.82062468669682,-92.24040934461438,#2a5a5b
83,4106.93,5334.27,Queens,Elmhurst/Maspeth,Boro Zone,#b8d6be,-69.62417504228797,-85.7352855445909,#5a9178
84,178.05,0.0,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8,47.63681592039803,-0.0,#e8e8e8
85,12596.66,8248.76,Brooklyn,Erasmus,Boro Zone,#5a9178,18.886212715514805,-56.5416493685211,#b8d6be
86,16161.56,9025.539999999999,Queens,Far Rockaway,Boro Zone,#5a9178,34.01617492066361,-58.45761549472754,#b8d6be
87,103780.43000000001,958.6899999999999,Manhattan,Financial District North,Yellow Zone,#6c83b5,-90.91726929506687,480.2856969917074,#6c83b5
88,64101.55,371.1,Manhattan,Financial District South,Yellow Zone,#6c83b5,-90.0337005144383,-16.18294748729531,#6c83b5
89,31491.54,20007.87,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#2a5a5b,-4.709406649136557,-61.08330634549682,#90b2b3
90,301309.18,958.28,Manhattan,Flatiron,Yellow Zone,#6c83b5,-82.51781269211762,625.200544876646,#6c83b5
91,23587.77,13392.7,Brooklyn,Flatlands,Boro Zone,#2a5a5b,22.612087087243182,-62.16378394367128,#b8d6be
92,11958.86,6896.55,Queens,Flushing,Boro Zone,#5a9178,-28.551055316672674,-91.87718233258448,#5a9178
93,4458.24,776.74,Queens,Flushing Meadows-Corona Park,Boro Zone,#e8e8e8,-97.57131918317043,-99.53675239417258,#2a5a5b
94,6874.16,4683.99,Bronx,Fordham South,Boro Zone,#b8d6be,109.3501889711503,-41.30522226747282,#e8e8e8
95,14536.73,41766.81,Queens,Forest Hills,Boro Zone,#5a9178,-53.64326623807337,-79.92256739264363,#5a9178
96,309.82,455.28999999999996,Queens,Forest Park/Highland Park,Boro Zone,#e8e8e8,-86.66838787409368,-80.3871818177902,#2a5a5b
97,29010.07,39725.05,Brooklyn,Fort Greene,Boro Zone,#2a5a5b,-63.88759496444163,-79.40182775687457,#5a9178
98,1754.97,1444.26,Queens,Fresh Meadows,Boro Zone,#b8d6be,-59.17202712605706,-72.36437253161068,#5a9178
99,0.0,70.79,Staten Island,Freshkills Park,Boro Zone,#e8e8e8,-100.0,-0.0,#6c83b5
100,325649.11,348.93,Manhattan,Garment District,Yellow Zone,#6c83b5,-86.86983788977345,519.7690941385436,#6c83b5
101,5176.599999999999,2094.67,Queens,Glen Oaks,Boro Zone,#b8d6be,-24.7271019367147,-68.14548628747487,#90b2b3
102,5251.8,2354.59,Queens,Glendale,Boro Zone,#b8d6be,3.571090496024232,-72.38017595307917,#5a9178
103,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,-0.0,-0.0,#b5c0da
104,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,-0.0,-0.0,#b5c0da
105,46.5,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,-76.39833519439651,-0.0,#6c83b5
106,7432.85,5819.03,Brooklyn,Gowanus,Boro Zone,#90b2b3,-44.79307942440443,-63.293847666783776,#90b2b3
107,389140.18,1507.62,Manhattan,Gramercy,Yellow Zone,#567994,-82.40083441913632,1663.298245614035,#6c83b5
108,8261.11,4830.03,Brooklyn,Gravesend,Boro Zone,#90b2b3,140.38613746144446,-69.43746298349254,#b8d6be
109,93.5,0.0,Staten Island,Great Kills,Boro Zone,#e8e8e8,-76.27626103724754,-100.0,#2a5a5b
110,0.0,0.0,Staten Island,Great Kills Park,Boro Zone,#e8e8e8,-0.0,-0.0,#b5c0da
111,59.099999999999994,52.099999999999994,Brooklyn,Green-Wood Cemetery,Boro Zone,#e8e8e8,-72.25352112676056,-68.40126152353227,#567994
112,14826.65,2957.99,Brooklyn,Greenpoint,Boro Zone,#90b2b3,-53.50702992685189,-92.09387420183408,#5a9178
113,197117.36000000002,356.43,Manhattan,Greenwich Village North,Yellow Zone,#6c83b5,-86.42123061312284,1.988668879478095,#6c83b5
114,126515.95,130.69,Manhattan,Greenwich Village South,Yellow Zone,#6c83b5,-90.04476889247933,-0.0,#6c83b5
