PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent
62,13386.25,9276.03,Brooklyn,Crown Heights South,Boro Zone,#5a9178,-4.75375612977041,-65.6507324746538,#b8d6be,-44.80609672963968
63,11649.34,4606.8,Brooklyn,Cypress Hills,Boro Zone,#90b2b3,24.19153658687398,-67.24786981049577,#b8d6be,-30.66499358733486
64,5941.07,1070.51,Queens,Douglaston,Boro Zone,#e8e8e8,36.2715122266746,-77.69087616415861,#73ae80,-23.439823721973386
65,30740.58,27247.27,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b,-79.50196174660795,-83.69801096405146,#2a5a5b,-81.7136003982477
66,7911.93,5183.58,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#90b2b3,-87.15259160435869,-96.4640089967702,#2a5a5b,-93.70948582681541
67,4363.99,3568.4,Brooklyn,Dyker Heights,Boro Zone,#b8d6be,17.2066402924264,-58.96537171388915,#e8e8e8,-36.12904005024398
68,548207.3,1650.29,Manhattan,East Chelsea,Yellow Zone,#567994,-81.54276504760837,-66.35988193374266,#567994,-81.51772921091803
69,15755.37,15351.59,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178,4.49964714372128,-63.788124678608675,#e8e8e8,-45.873414585086394
70,109328.94,8710.34,Queens,East Elmhurst,Boro Zone,#2a5a5b,297.79817141326873,-23.81664580671174,#e8e8e8,203.31102854774437
71,16049.47,12312.31,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178,-19.16253651657097,-64.77736951476842,#90b2b3,-48.25406752967724
72,18701.98,16127.38,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#5a9178,-7.265269611318987,-54.947324782829256,#b5c0da,-37.76459467621092
73,1511.42,332.81,Queens,East Flushing,Boro Zone,#e8e8e8,29.11829279752601,-92.42780695128279,#73ae80,-66.8645442736173
74,178276.30000000005,125269.06,Manhattan,East Harlem North,Boro Zone,#2a5a5b,-51.75460020693343,-75.46598718542093,#90b2b3,-65.51064685165565
75,369870.88,110593.07,Manhattan,East Harlem South,Boro Zone,#2a5a5b,-52.136922110547715,-72.6641478041793,#90b2b3,-59.19072923866865
76,54399.66,25606.96,Brooklyn,East New York,Boro Zone,#2a5a5b,20.80091507265089,-67.66842476536623,#b8d6be,-35.59984345617344
77,14309.97,7515.93,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#5a9178,48.88631553976864,-66.33174293087684,#b8d6be,-31.654873378064018
78,13362.19,9632.41,Bronx,East Tremont,Boro Zone,#5a9178,30.911892904974128,-57.274322481745216,#e8e8e8,-29.791318276039252
79,505181.69,655.38,Manhattan,East Village,Yellow Zone,#6c83b5,-83.55593647359015,-67.12415349887135,#567994,-83.5452808038298
80,10404.51,3485.29,Brooklyn,East Williamsburg,Boro Zone,#90b2b3,-76.84029804300762,-93.92834334042593,#2a5a5b,-86.42615565993485
81,11676.01,8415.36,Bronx,Eastchester,Boro Zone,#5a9178,37.42076186306425,-64.8854203742641,#b8d6be,-38.10797681101917
82,16154.74,30336.96,Queens,Elmhurst,Boro Zone,#5a9178,-77.83316412353417,-89.50660138615982,#2a5a5b,-87.15639147412271
83,6063.36,5350.29,Queens,Elmhurst/Maspeth,Boro Zone,#b8d6be,-54.702942004830504,-85.07287251836006,#5a9178,-76.81495475182061
84,495.76,0.0,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8,270.4124327555289,-100.0,#73ae80,212.11281792999245
85,11516.33,7728.05,Brooklyn,Erasmus,Boro Zone,#5a9178,-19.640317689369464,-65.2795187326747,#90b2b3,-47.403746712115804
86,11376.46,7141.85,Queens,Far Rockaway,Boro Zone,#90b2b3,13.083273278497044,-71.05669594424548,#b8d6be,-46.68774592953158
87,130383.09,594.43,Manhattan,Financial District North,Yellow Zone,#6c83b5,-87.78699758404099,-86.69937952962393,#2a5a5b,-87.78246347344015
88,72180.4,683.95,Manhattan,Financial District South,Yellow Zone,#6c83b5,-87.6182297690106,-73.99963505592008,#567994,-87.55705316627535
89,30723.84,19291.08,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#2a5a5b,-21.613238767307934,-66.04854662827616,#90b2b3,-47.909150246540136
