PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount,log_total_change_percent,sigmoid_total_change_percent,newlog_total_change_percent
61,55058.07,33706.1,Brooklyn,Crown Heights North,Boro Zone,#2a5a5b,14.299572949702895,-61.5411209612934,#b8d6be,-34.64182701529299,11.393738356564874,0.0,9.020813086250273e-16,-34.64182701529299
62,13208.09,8741.51,Brooklyn,Crown Heights South,Boro Zone,#5a9178,1.397351618715395,-62.13791977310933,#b8d6be,-39.22108532352141,9.996504195102649,0.0,9.257614021309919e-18,-39.22108532352141
63,18840.14,6294.35,Brooklyn,Cypress Hills,Boro Zone,#5a9178,76.05484946207419,-52.83884053236547,#b8d6be,4.519048759634991,10.131996285489153,1.5083015202879468,0.9892181291044978,1.708205519286065
64,5069.12,730.3299999999997,Queens,Douglaston,Boro Zone,#e8e8e8,66.31571349359722,-83.30143748528104,#73ae80,-21.856093781580547,8.665518364451884,0.0,3.221210266298164e-10,-21.856093781580547
65,23576.9,22715.32,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b,-85.6249143356618,-87.21812824828139,#2a5a5b,-86.45346435083616,10.742729191397702,0.0,2.842742294494605e-38,-86.45346435083616
66,5822.61,3244.05,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#b8d6be,-91.37938871138027,-98.20585624052929,#2a5a5b,-96.34933154063907,9.11235922832159,0.0,1.432243885457508e-42,-96.34933154063907
67,2480.24,1516.8,Brooklyn,Dyker Heights,Boro Zone,#b8d6be,-44.011756393441885,-82.713131204918,#5a9178,-69.72907146351697,8.293309366166879,0.0,5.212535612826144e-31,-69.72907146351697
68,366715.66,1360.16,Manhattan,East Chelsea,Yellow Zone,#567994,-86.3823773073119,1551.4813016027201,#6c83b5,-86.33228712081001,12.81604422853796,0.0,3.2089584464017926e-38,-86.33228712081001
69,16207.3,15653.7,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178,-17.324583888718,-56.54901403454328,#b8d6be,-42.72657525736281,10.369137970290993,0.0,2.780251828869189e-19,-42.72657525736281
70,84218.38,4549.29,Queens,East Elmhurst,Boro Zone,#567994,130.59793974766814,-52.73897035907367,#b8d6be,92.35590047764113,11.393777786111718,4.52564959716123,1.0,4.536419076106317
71,18336.36,11437.03,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178,-0.3384491127872045,-61.22083687092951,#b8d6be,-37.831382911527875,10.301370320553318,0.0,3.7156873058831905e-17,-37.831382911527875
72,25295.17,14942.62,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#2a5a5b,29.741375551954928,-51.44491052190168,#e8e8e8,-19.95853290095836,10.6025618827883,0.0,2.1484205276099e-09,-19.95853290095836
73,1189.18,824.68,Queens,East Flushing,Boro Zone,#e8e8e8,-19.697205021372575,-76.56686433911385,#73ae80,-59.72408882915745,7.607808557456182,0.0,1.153872398429692e-26,-59.72408882915745
74,141698.85,104006.25,Manhattan,East Harlem North,Boro Zone,#2a5a5b,-61.57484380874324,-81.21875243272514,#5a9178,-73.36654082067399,12.411887315314605,0.0,1.3718801278781402e-32,-73.36654082067399
75,264224.33,110548.71,Manhattan,East Harlem South,Boro Zone,#2a5a5b,-61.868977969269025,-73.82239665847223,#90b2b3,-66.39531984044231,12.834075895062295,0.0,1.4617697459075116e-29,-66.39531984044231
76,65986.78,33496.99,Brooklyn,East New York,Boro Zone,#2a5a5b,26.05528937490604,-51.46975816149186,#e8e8e8,-18.032929113447008,11.507749794264006,0.0,1.4736637039994558e-08,-18.032929113447008
77,20878.27,10241.17,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#2a5a5b,74.94823600193398,-47.22178130875029,#e8e8e8,-0.6978399796031184,10.345587983271805,0.0,0.33229130601797313,-0.6978399796031184
78,15100.49,8742.58,Bronx,East Tremont,Boro Zone,#5a9178,69.68978118594701,-55.62002458960637,#b8d6be,-16.627550067731395,10.079248888056261,0.0,6.008232524173781e-08,-16.627550067731395
79,241900.48,592.24,Manhattan,East Village,Yellow Zone,#6c83b5,-90.28233293912253,391.8936877076412,#6c83b5,-90.25901251870161,12.398726968290491,0.0,6.324248422432156e-40,-90.25901251870161
80,11031.78,3357.92,Brooklyn,East Williamsburg,Boro Zone,#90b2b3,-75.66635418160163,-94.68695734037749,#5a9178,-86.74211869782596,9.574267951853113,0.0,2.1299847838166758e-38,-86.74211869782596
81,11036.28,7271.97,Bronx,Eastchester,Boro Zone,#5a9178,13.813042379741876,-61.28440269285339,#b8d6be,-35.71518860670157,9.815107056912986,0.0,3.083831696840989e-16,-35.71518860670157
