PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color
87,1261252.61,29.0,Manhattan,Financial District North,Yellow Zone,#6c83b5
88,686169.6900000001,84.24,Manhattan,Financial District South,Yellow Zone,#6c83b5
89,26118.670000000002,34859.75,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#5a9178
90,1984373.57,17.16,Manhattan,Flatiron,Yellow Zone,#6c83b5
91,16233.73,19366.23,Brooklyn,Flatlands,Boro Zone,#5a9178
92,12239.97,84411.22,Queens,Flushing,Boro Zone,#5a9178
93,87994.05,53512.86,Queens,Flushing Meadows-Corona Park,Boro Zone,#2a5a5b
94,2486.85,6611.96,Bronx,Fordham South,Boro Zone,#b8d6be
95,28614.4,213159.06,Queens,Forest Hills,Boro Zone,#5a9178
96,3440.11,1416.85,Queens,Forest Park/Highland Park,Boro Zone,#e8e8e8
97,95327.81,199683.72,Brooklyn,Fort Greene,Boro Zone,#2a5a5b
98,4360.58,2831.28,Queens,Fresh Meadows,Boro Zone,#b8d6be
99,570.0,0.0,Staten Island,Freshkills Park,Boro Zone,#e8e8e8
100,2494510.91,67.92,Manhattan,Garment District,Yellow Zone,#6c83b5
101,5146.17,2353.3,Queens,Glen Oaks,Boro Zone,#b8d6be
102,4994.83,5778.9800000000005,Queens,Glendale,Boro Zone,#b8d6be
103,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8
104,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8
105,216.42,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8
106,17158.73,16196.210000000001,Brooklyn,Gowanus,Boro Zone,#5a9178
107,2634167.41,93.96,Manhattan,Gramercy,Yellow Zone,#6c83b5
108,6193.1,10839.41,Brooklyn,Gravesend,Boro Zone,#90b2b3
109,135.42,14.100000000000001,Staten Island,Great Kills,Boro Zone,#e8e8e8
110,0.0,0.0,Staten Island,Great Kills Park,Boro Zone,#e8e8e8
111,323.90999999999997,480.61,Brooklyn,Green-Wood Cemetery,Boro Zone,#e8e8e8
112,43585.36,47085.77,Brooklyn,Greenpoint,Boro Zone,#5a9178
113,1682322.72,31.3,Manhattan,Greenwich Village North,Yellow Zone,#6c83b5
114,1478324.79,0.0,Manhattan,Greenwich Village South,Yellow Zone,#6c83b5
115,534.13,2618.1200000000003,Staten Island,Grymes Hill/Clifton,Boro Zone,#b8d6be
116,150629.65,118207.0,Manhattan,Hamilton Heights,Boro Zone,#2a5a5b
117,4862.75,8939.64,Queens,Hammels/Arverne,Boro Zone,#b8d6be
118,2000.11,389.63,Staten Island,Heartland Village/Todt Hill,Boro Zone,#e8e8e8
119,9407.47,17801.65,Bronx,Highbridge,Boro Zone,#5a9178
120,1632.28,1196.76,Manhattan,Highbridge Park,Boro Zone,#e8e8e8
121,7071.4800000000005,11385.02,Queens,Hillcrest/Pomonok,Boro Zone,#90b2b3
122,3807.81,4746.68,Queens,Hollis,Boro Zone,#b8d6be
123,7003.17,10894.66,Brooklyn,Homecrest,Boro Zone,#90b2b3
124,10847.13,4012.11,Queens,Howard Beach,Boro Zone,#90b2b3
125,733648.63,36.06,Manhattan,Hudson Sq,Yellow Zone,#6c83b5
126,4351.05,7883.0,Bronx,Hunts Point,Boro Zone,#b8d6be
127,17448.45,28768.24,Manhattan,Inwood,Boro Zone,#5a9178
