PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount
15,869.63,822.07,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,-72.23917665311022,-54.325638247631744,#90b2b3,-65.70250363411137,7.433489219481246
16,2628.31,1817.4,Queens,Bayside,Boro Zone,#b8d6be,-43.82944802058489,-67.62147736140162,#90b2b3,-56.80480444300214,8.399694865226268
17,14458.91,12473.51,Brooklyn,Bedford,Boro Zone,#5a9178,-40.549127350819894,-72.26823367454334,#90b2b3,-61.13642860430841,10.201086044375
18,10505.76,9851.1,Bronx,Bedford Park,Boro Zone,#5a9178,123.94611186903141,-15.234198536339822,#e8e8e8,24.791098986988715,9.921173234802154
19,1423.04,1456.58,Queens,Bellerose,Boro Zone,#b8d6be,-60.67570667057227,-63.6569141636684,#90b2b3,-62.24236519860121,7.965413619980113
20,4332.86,3027.04,Bronx,Belmont,Boro Zone,#90b2b3,12.744172007421096,-65.48698396482844,#b8d6be,-41.652046447504766,8.903801624674097
21,3532.59,4428.8,Brooklyn,Bensonhurst East,Boro Zone,#73ae80,-42.499768051682956,-52.44583745384225,#90b2b3,-48.49257089769021,8.982358886709164
22,6268.25,5192.16,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,-33.8732903266643,-55.264604467542846,#90b2b3,-45.64798703186498,9.346653766243074
23,17116.92,8099.81,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#2a5a5b,600.9644090077029,1054.197244111319,#e8e8e8,702.1404850366449,10.135262942111662
24,48694.33,3492.88,Manhattan,Bloomingdale,Yellow Zone,#567994,-85.96560798906401,-88.49826957715777,#2a5a5b,-86.16944043530826,10.862592724691543
25,13554.92,13831.98,Brooklyn,Boerum Hill,Boro Zone,#5a9178,-87.85462051759603,-90.2628704947232,#2a5a5b,-89.20328448110862,10.217820075859088
26,6962.87,4973.42,Brooklyn,Borough Park,Boro Zone,#5a9178,-34.97870870141755,-67.36763783433372,#90b2b3,-54.00160158092532,9.387338618395042
27,80.59,567.46,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,-91.57378557537486,183.29089910638515,#6c83b5,-43.97569009189698,6.473967853869384
28,4807.31,3043.91,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3,-89.31346734171024,-69.52835628451186,#567994,-85.71832138315393,8.968424212713687
29,6119.55,4909.38,Brooklyn,Brighton Beach,Boro Zone,#5a9178,25.514812657417806,-64.7161302146407,#b8d6be,-41.302726893889194,9.308277099382387
30,66.51,59.55,Queens,Broad Channel,Boro Zone,#e8e8e8,-91.65474666867424,-84.34419118226991,#2a5a5b,-89.29290355459295,4.836757984084964
31,774.66,558.29,Bronx,Bronx Park,Boro Zone,#e8e8e8,-64.86436226908022,-92.37838715974821,#5a9178,-86.01291099764319,7.1951498100978695
32,2700.7,4141.58,Bronx,Bronxdale,Boro Zone,#b8d6be,-51.49151860446738,-42.68621603481799,#90b2b3,-46.518071884211146,8.830876288406717
33,10548.36,10008.69,Brooklyn,Brooklyn Heights,Boro Zone,#5a9178,-93.03034149302195,-95.60676863896778,#2a5a5b,-94.57837321315147,9.930959226784232
34,2970.42,746.24,Brooklyn,Brooklyn Navy Yard,Boro Zone,#e8e8e8,-5.6991561744033215,-74.44908580428678,#73ae80,-38.77546313836989,8.220580694496574
35,31283.78,18137.61,Brooklyn,Brownsville,Boro Zone,#2a5a5b,103.24371030875929,-27.128634506366037,#e8e8e8,22.68806406807978,10.808138605411735
36,6202.38,3787.61,Brooklyn,Bushwick North,Boro Zone,#90b2b3,-56.10727511664262,-85.30609378843096,#5a9178,-74.96714277588353,9.209338870641098
37,21449.41,9583.51,Brooklyn,Bushwick South,Boro Zone,#2a5a5b,-16.892419411520148,-56.80603412335519,#b8d6be,-35.34318019116449,10.342803855496534
38,6350.47,4669.62,Queens,Cambria Heights,Boro Zone,#5a9178,28.31124590091066,19.658982585254353,#e8e8e8,24.496735658985664,9.307475249642703
39,27796.64,18756.64,Brooklyn,Canarsie,Boro Zone,#2a5a5b,25.97159405052163,-26.187565964955645,#e8e8e8,-1.9456570778873683,10.74835274209185
40,2826.59,1405.77,Brooklyn,Carroll Gardens,Boro Zone,#b8d6be,-95.20044569145679,-96.2299364133481,#2a5a5b,-95.59956357039675,8.350515036082786
41,90912.05,50715.15,Manhattan,Central Harlem,Boro Zone,#2a5a5b,-76.36069771578659,-85.57654815951156,#5a9178,-80.76229673568312,11.860953532190239
42,79968.56,53039.45,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,-54.13755574406059,-75.30493759706263,#5a9178,-65.82033226495324,11.798164630954314
43,121063.12,14858.44,Manhattan,Central Park,Yellow Zone,#2a5a5b,-93.59447965679064,-82.12129627713311,#2a5a5b,-93.11122652636327,11.81983323361956
44,7831.58,224.7,Staten Island,Charleston/Tottenville,Boro Zone,#b5c0da,372.9272092658124,-0.0,#e8e8e8,386.49621372238795,8.994207190497477
45,14465.55,613.53,Manhattan,Chinatown,Yellow Zone,#b5c0da,-94.83158891353122,602.7835051546393,#6c83b5,-94.61406011097073,9.621063631743326
46,428.51,1176.08,Bronx,City Island,Boro Zone,#b8d6be,-74.0982972370147,-43.157080715321406,#90b2b3,-56.90490066794328,7.380623551217374
47,7310.94,6218.2,Bronx,Claremont/Bathgate,Boro Zone,#5a9178,17.619216927267242,-24.90450329030396,#e8e8e8,-6.6708700786967,9.512601156690849
48,295462.71,720.96,Manhattan,Clinton East,Yellow Zone,#6c83b5,-92.60030068810335,6280.176991150442,#6c83b5,-92.58226563806788,12.598735047628237
49,7667.05,8076.36,Brooklyn,Clinton Hill,Boro Zone,#5a9178,-73.76805252240068,-86.80115940664737,#5a9178,-82.58815766757508,9.664177143996348
50,115935.91,800.54,Manhattan,Clinton West,Yellow Zone,#567994,-89.59815186175337,310.13371586659144,#6c83b5,-89.52816076141717,11.667674108838492
51,10389.38,11404.91,Bronx,Co-Op City,Boro Zone,#5a9178,-5.5861956781524045,-39.47675236217651,#b8d6be,-26.98226410264829,9.989403287862912
52,4210.73,4040.32,Brooklyn,Cobble Hill,Boro Zone,#b8d6be,-94.01482304004513,-93.66878191997473,#2a5a5b,-93.85023218568178,9.018095743957513
53,2655.31,776.84,Queens,College Point,Boro Zone,#e8e8e8,-36.95186581694194,-78.66832156233869,#5a9178,-56.29660473076219,8.140942165946466
54,1268.22,672.89,Brooklyn,Columbia Street,Boro Zone,#e8e8e8,-74.41655453997124,-82.91064335564879,#5a9178,-78.17670582494908,7.571015253381874
55,10251.17,16659.79,Brooklyn,Coney Island,Boro Zone,#5a9178,-15.910328806407476,-63.939707990204276,#b8d6be,-53.912155008564746,10.20028891755509
56,4562.26,3775.16,Queens,Corona,Boro Zone,#90b2b3,-79.53467132411026,-76.52724962009954,#5a9178,-78.27427135701963,9.028509094975446
57,1403.53,410.29,Queens,Corona,Boro Zone,#e8e8e8,29.801440871551577,-70.78476469876172,#b8d6be,-27.028636257573442,7.503190397526718
58,411.2,126.99,Bronx,Country Club,Boro Zone,#e8e8e8,-47.472631350357034,-87.7666030865268,#5a9178,-70.44357429608598,6.288211657666824
59,424.58,217.15,Bronx,Crotona Park,Boro Zone,#e8e8e8,124.38431455448685,-45.5368563617667,#b8d6be,9.150749238854969,6.464167654481823
60,4010.06,3122.99,Bronx,Crotona Park East,Boro Zone,#b8d6be,29.74769143160361,-48.48769754280747,#b8d6be,-22.071019428029544,8.872494191926819
61,42200.18,28491.25,Brooklyn,Crown Heights North,Boro Zone,#2a5a5b,10.665484841253404,-56.9570985794804,#b8d6be,-32.23973019899779,11.166079628130007
62,11062.25,5864.24,Brooklyn,Crown Heights South,Boro Zone,#5a9178,-6.359329276396264,-66.98921789489447,#b8d6be,-42.77363038163671,9.736635129356099
