PULocationID,yellow_total_amount,yellow_log_total_amount,green_total_amount,green_log_total_amount,Borough,Zone,service_zone,bivcolor
122,2706.87,7.9035482648187205,5674.91,8.64380998319301,Queens,Hollis,Boro Zone,#b8d6be
123,2946.0,7.988203597022576,6862.58,8.833838743309036,Brooklyn,Homecrest,Boro Zone,#b8d6be
124,5716.1,8.6510420336483,1903.62,7.551512615600672,Queens,Howard Beach,Boro Zone,#90b2b3
125,284010.48,12.556766417870953,224.26,5.412806093032734,Manhattan,Hudson Sq,Yellow Zone,#6c83b5
126,3521.73,8.166707625129472,4327.64,8.372777637769131,Bronx,Hunts Point,Boro Zone,#b8d6be
127,8168.08,9.007989154115831,13161.630000000001,9.48506105739164,Manhattan,Inwood,Boro Zone,#5a9178
128,810.37,6.697490933493093,1215.54,7.102943701482915,Manhattan,Inwood Hill Park,Boro Zone,#e8e8e8
129,30587.87,10.328358804122391,67255.85,11.11625928252836,Queens,Jackson Heights,Boro Zone,#2a5a5b
130,32673.03,10.394305245932705,70458.47,11.162778737211553,Queens,Jamaica,Boro Zone,#2a5a5b
131,4244.42,8.353360458079559,6183.52,8.729642967591047,Queens,Jamaica Estates,Boro Zone,#90b2b3
132,4438661.15,15.305863346142445,1245.0,7.126890808898808,Queens,JFK Airport,Airports,#6c83b5
133,4625.12,8.439257595555882,3948.37,8.281058114500482,Brooklyn,Kensington,Boro Zone,#90b2b3
134,14587.51,9.587920962113,26199.46,10.173494078849762,Queens,Kew Gardens,Boro Zone,#5a9178
135,8661.85,9.066683604607775,4892.4,8.495438259613207,Queens,Kew Gardens Hills,Boro Zone,#90b2b3
136,9057.69,9.111369399640026,13123.94,9.482193322293645,Bronx,Kingsbridge Heights,Boro Zone,#5a9178
137,671879.1,13.417833692605127,4208.12,8.344771271121207,Manhattan,Kips Bay,Yellow Zone,#567994
138,2071579.95,14.543822134975672,837.09,6.729931591590595,Queens,LaGuardia Airport,Airports,#6c83b5
139,5916.08,8.6854293463897,4996.9,8.516572999136757,Queens,Laurelton,Boro Zone,#90b2b3
140,1078575.1300000001,13.891151403952085,4312.85,8.369354217466658,Manhattan,Lenox Hill East,Yellow Zone,#567994
141,1142423.53,13.948662467344137,860.1,6.757048661557434,Manhattan,Lenox Hill West,Yellow Zone,#6c83b5
142,1374224.21,14.133399918946848,887.45,6.788352181734355,Manhattan,Lincoln Square East,Yellow Zone,#6c83b5
143,607011.02,13.316302224736805,401.84000000000003,5.99605399944179,Manhattan,Lincoln Square West,Yellow Zone,#6c83b5
144,451884.75,13.021182448425877,385.29,5.953996297493074,Manhattan,Little Italy/NoLiTa,Yellow Zone,#6c83b5
145,73369.04,11.203257327255532,21483.31,9.975031633585369,Queens,Long Island City/Hunters Point,Boro Zone,#2a5a5b
146,46738.4,10.752321375585657,10331.52,9.242954695529109,Queens,Long Island City/Queens Plaza,Boro Zone,#2a5a5b
147,4284.21,8.362691449974061,4764.25,8.468895406008485,Bronx,Longwood,Boro Zone,#90b2b3
148,616531.74,13.331865084446186,526.04,6.265377255473764,Manhattan,Lower East Side,Yellow Zone,#6c83b5
149,2197.63,7.695134785943802,4686.38,8.452415708396217,Brooklyn,Madison,Boro Zone,#b8d6be
150,2304.78,7.742740506190149,3752.46,8.23016690389051,Brooklyn,Manhattan Beach,Boro Zone,#b8d6be
151,465444.9,13.050749001346352,1655.39,7.411791909596998,Manhattan,Manhattan Valley,Yellow Zone,#6c83b5
152,56325.14,10.938896250872146,23945.23,10.083524418076163,Manhattan,Manhattanville,Boro Zone,#2a5a5b
153,1716.76,7.4481940724437745,2204.78,7.698383009660635,Manhattan,Marble Hill,Boro Zone,#b8d6be
154,938.29,6.844059069667007,241.40000000000003,5.486455308663431,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,#e8e8e8
155,6660.53,8.803954339947728,9472.89,9.156189313858363,Brooklyn,Marine Park/Mill Basin,Boro Zone,#5a9178
156,414.44,6.026928211383551,4149.05,8.330634671356904,Staten Island,Mariners Harbor,Boro Zone,#b8d6be
157,18051.77,9.800999019895196,3660.56,8.20537142015575,Queens,Maspeth,Boro Zone,#90b2b3
158,489311.13,13.100753823799627,0.0,0.0,Manhattan,Meatpacking/West Village West,Yellow Zone,#6c83b5
159,10514.29,9.260490563270267,19355.49,9.870731379146989,Bronx,Melrose South,Boro Zone,#5a9178
160,2661.64,7.886697753145593,2206.32,7.699081248223609,Queens,Middle Village,Boro Zone,#b8d6be
161,2123734.7,14.568686747704541,693.29,6.541448382074048,Manhattan,Midtown Center,Yellow Zone,#6c83b5
162,1807287.42,14.407337616139957,859.7,6.756583491180399,Manhattan,Midtown East,Yellow Zone,#6c83b5
163,1351514.8,14.116736595434093,285.61,5.654627243858056,Manhattan,Midtown North,Yellow Zone,#6c83b5
164,1094640.09,13.9059361822725,572.54,6.350082601983304,Manhattan,Midtown South,Yellow Zone,#6c83b5
165,5063.47,8.529807297999184,8282.65,9.021918244483949,Brooklyn,Midwood,Boro Zone,#90b2b3
166,980129.4,13.795439882746459,119088.66,11.687623536704447,Manhattan,Morningside Heights,Boro Zone,#2a5a5b
167,6454.14,8.772477064350609,9815.47,9.191714991453015,Bronx,Morrisania/Melrose,Boro Zone,#5a9178
168,17590.11,9.775092091265206,17873.61,9.791080602300807,Bronx,Mott Haven/Port Morris,Boro Zone,#5a9178
169,7183.86,8.87959212204159,10130.87,9.223342477069265,Bronx,Mount Hope,Boro Zone,#5a9178
170,1545381.47,14.250781343986544,2560.59,7.847992979669765,Manhattan,Murray Hill,Yellow Zone,#567994
171,3602.52,8.189388879558475,5846.9,8.673666885241662,Queens,Murray Hill-Queens,Boro Zone,#b8d6be
172,115.39999999999999,4.748404354073999,115.14,4.7461487792476635,Staten Island,New Dorp/Midland Beach,Boro Zone,#e8e8e8
173,2442.85,7.8009206694545545,8193.58,9.011106199775801,Queens,North Corona,Boro Zone,#b8d6be
174,5101.41,8.537272251089702,13626.130000000001,9.51974455187228,Bronx,Norwood,Boro Zone,#5a9178
